排名,UP主,UP主头像,标题,视频链接,封面图,作品分布ip,作品类别,评论数量,播放量,点赞数量,弹幕数量
38,1二山,https://i0.hdslb.com/bfs/face/99d10ca6af96e59a9a47617cf1ebc10b78bf528e.jpg,情侣深山打造世外桃源半年全过程。为自由欢呼，为梦想点赞。心中有所坚持，必定找到属于我们自己的世外桃源！,https://b23.tv/BV1jr421g7Mp,http://i0.hdslb.com/bfs/archive/6f252272a702bc3215d92abbe83f41cbc9f743bc.jpg,福建,三农,4480,574383,77570,2015
39,锤子game,https://i0.hdslb.com/bfs/face/009b1f74b7f495f5fad13b9b922f89ba03a0d775.jpg,宿 舍 游 戏 高 手 现 状,https://b23.tv/BV1Xs421P7KS,http://i2.hdslb.com/bfs/archive/733879795dfd5f3b89874749cc203743127a83ca.jpg,上海,网络游戏,796,1568070,159565,2524
40,馋逗儿-,https://i2.hdslb.com/bfs/face/15d487e83d4f009f131484fb8efcc9ab0dd6871b.jpg,00后整顿职场？这张饼我能吃一整顿。,https://b23.tv/BV1PE421V7gM,http://i1.hdslb.com/bfs/archive/cff7934b4cd6ed6914f00f45a9bb4f4d9d9e2c82.jpg,上海,搞笑,149,1200974,139082,601
41,暗区突围,https://i0.hdslb.com/bfs/face/9fb5b78af4a4345f650b783cf8a1b176d8389b8f.jpg,暗区真人剧【卡莫纳的故事】第六集：狗牌,https://b23.tv/BV1Mb4218786,http://i0.hdslb.com/bfs/archive/0b6f18fa10deb8e3ab9d409d4c7a625212d79b48.jpg,上海,手机游戏,1371,1467477,64540,672
42,嘞是唐孃孃,https://i0.hdslb.com/bfs/face/7685255299c9892d57048aca5f960c59b6850533.jpg,《倒反天罡》,https://b23.tv/BV1gT421Q7XY,http://i2.hdslb.com/bfs/archive/6a1fe244c189e40bb27c77e3e4ab81daf8829d2b.jpg,重庆,搞笑,163,1182434,167510,466
43,吕宸joker,https://i1.hdslb.com/bfs/face/1ce5deeee84f731577d07cacaaf0a47b18429ae0.jpg,使劲儿看第九期｜表面上是这两笔，其实背后是他的功底,https://b23.tv/BV1Tm421H77j,http://i0.hdslb.com/bfs/archive/4578cc1f0cfe88c67f7fb3b469794c2839df2a00.jpg,北京,人文历史,489,980194,108793,345
44,谢谢艺,https://i1.hdslb.com/bfs/face/592435cb6007a37741562fc7ab85ea2da1aaba42.jpg,《大学生流浪小技巧》,https://b23.tv/BV1ki42117tH,http://i2.hdslb.com/bfs/archive/4f7047e6ede5c93791b36db6836e4a7ff962da75.jpg,江西,搞笑,1689,4411673,766779,3532
45,阳桃SunOfPeach,https://i1.hdslb.com/bfs/face/0f7886738f47325ed40ab25c78a8338f5f9bfc8b.jpg,大雪天 被一群日本初中女生抓住拍照，并用中文叫我别离开,https://b23.tv/BV1Pz421S717,http://i0.hdslb.com/bfs/archive/5382f7aca0ed190df421a728532fb2ab448c86b5.jpg,日本,日常,847,732919,67782,1069
46,派小轩,https://i0.hdslb.com/bfs/face/452f239756a610ef39b377b32b2b140f9794b487.jpg,我的青春没有黑历史！,https://b23.tv/BV1dJ4m1N7mJ,http://i1.hdslb.com/bfs/archive/a148d777984d8813561cab0b33b0e5d2daa3cc76.jpg,北京,小剧场,1195,745139,96941,1424
47,RK贝今天也很快乐,https://i0.hdslb.com/bfs/face/b1670fa62d9bc30ed556da56ddc514eeb61f850c.jpg,钟表小子痛哥,https://b23.tv/BV1Dm421H7ch,http://i2.hdslb.com/bfs/archive/5af1d25faf8ab6985e3eb0be24328bfd1bc76bc9.jpg,山东,MMD·3D,341,653098,125085,726
